,playerID,yearID,POS,G,InnOuts,PO,A,E,DP,birthYear,age,Range Factor,Fielding %,RF Yearly Avg
50255,hamnegr01,1952,SS,151,,267,470,38.0,102,1927.0,25.0,4.880794701986755,95.09677419354838,4.4379332837716525
50276,hemusso01,1952,SS,148,,253,452,29.0,104,1923.0,29.0,4.763513513513513,96.04904632152589,4.4379332837716525
77431,mendoma01,1979,SS,148,3248.0,177,422,20.0,91,1950.0,29.0,4.047297297297297,96.76898222940227,4.113890132095312
106106,rodrial01,1999,SS,129,3344.0,213,382,14.0,104,1975.0,24.0,4.612403100775194,97.70114942528735,4.037387926227994
106082,renteed01,1999,SS,151,3774.0,219,393,26.0,88,1976.0,23.0,4.052980132450331,95.92476489028213,4.037387926227994
46458,stephve01,1946,SS,112,,224,343,30.0,71,1920.0,26.0,5.0625,94.9748743718593,4.423496538099533
28564,risbesw01,1919,SS,97,,175,278,32.0,39,1894.0,25.0,4.670103092783505,93.4020618556701,4.664410229107832
28604,scottev01,1919,SS,138,,276,423,17.0,63,1892.0,27.0,5.065217391304348,97.62569832402235,4.664410229107832
33036,koenima01,1926,SS,141,,281,422,52.0,66,1904.0,22.0,4.98581560283688,93.11258278145695,4.458702649258586
105989,perezne01,1999,SS,157,4109.0,260,481,14.0,124,1973.0,26.0,4.719745222929936,98.1456953642384,4.037387926227994
28509,olsoniv01,1919,SS,140,,349,445,44.0,57,1885.0,34.0,5.671428571428572,94.74940334128878,4.664410229107832
83235,dejesiv01,1984,SS,141,3364.0,166,400,29.0,57,1953.0,31.0,4.01418439716312,95.12605042016806,4.065527914104143
77338,lemasjo01,1979,SS,106,2513.0,160,303,20.0,52,1954.0,25.0,4.367924528301887,95.8592132505176,4.113890132095312
114363,lugoju01,2004,SS,143,3714.0,236,422,25.0,91,1975.0,29.0,4.601398601398602,96.33967789165446,4.024608552337825
105943,ordonre01,1999,SS,154,3950.0,220,416,4.0,91,1971.0,28.0,4.12987012987013,99.375,4.037387926227994
